update_key,character_id
202511,00240101
202511,00530101
202511,00330101
202511,01030101
202511,01030102
202511,01510101
202511,00550101
202511,00240102
202511,00510101
202511,01260102
202511,00510102
202511,01600101
202511,00180101
202505,01000101
202505,00280101
202505,01120101
202505,00300101
202505,00230101
202505,00570101
202505,00670101
202505,00500101
202505,00670102
202505,00600101
202505,01020101
202505,00570102
202505,00710102
202505,00420102
202505,01120102
202502,00250107
202502,00910104
202309,00370101
202309,00340101
202309,00370102
202309,00480101
202309,00300102
202309,00410101
202309,00570101
202309,00470101
202309,00450102
202309,00650101
202309,00790101
202309,00120101
202309,00410102
202309,00200102
202309,00930101
202309,00530102
202309,00320102
202309,00250107
202309,00110101
202309,00130102
202309,00230102
202309,00400102
202111,00070101
202111,00300101
202111,00010103
202111,00010104
202111,00160101
202111,00280102
202111,00190102
202111,00150101
202111,00270101
202111,00210101
202111,00170101
202111,00040101
202111,00340102
202111,00050101
202111,00290101
202111,00010107
202111,00080101
202111,00150102
202111,00170102
202111,00080102
202111,00130102
202111,00110102
202111,00010110
202111,00180101
